Code,Country,latitude,longitude
AT,Autriche,47.516231,14.550072
AU,Australie,-25.274398,133.775136
BE,Belgique,50.503887,4.469936
CA,Canada,56.130366,-106.346771
CH,Suisse,46.818188,8.227512
CL,Chili,-35.675147,-71.542969
CO,Colombie,4.570868,-74.297333
CZ,R�publique tch�que,49.817492,15.472962
DE,Allemagne,51.165691,10.451526
DK,Danemark,56.26392,9.501785
EE,Estonie,58.595272,25.013607
ES,Espagne,40.463667,-3.74922
FI,Finlande,61.92411,25.748151
FR,France,46.227638,2.213749
GB,Royaume-Uni,55.378051,-3.435973
GR,Gr�ce,39.074208,21.824312
HU,Hongrie,47.162494,19.503304
IE,Irlande,53.41291,-8.24389
IL,Isra�l,31.046051,34.851612
IS,Islande,64.963051,-19.020835
IT,Italie,41.87194,12.56738
JP,Japon,36.204824,138.252924
KR,Cor�e,35.907757,127.766922
LT,Lituanie,55.169438,23.881275
LU,Luxembourg,49.815273,6.129583
LV,Lettonie,56.879635,24.603189
MX,Mexique,23.634501,-102.552784
NL,Pays-Bas,52.132633,5.291266
NO,Norv�ge,60.472024,8.468946
NZ,Nouvelle-Z�lande,-40.900557,174.885971
PL,Pologne,51.919438,19.145136
PT,Portugal,39.399872,-8.224454
SE,Su�de,60.128161,18.643501
SI,Slov�nie,46.151241,14.995463
SK,R�publique slovaque,48.669026,19.699024
TR,Turquie,38.963745,35.243322
US,�tats-Unis,37.09024,-95.712891
